item_id,description,normalized_description,service_name,mapping_method,mapping_confidence,top_score,score_gap
19,EXTENDED  DERM SPCM ANLY,extended dermatologic specimen analysis,Extended Dermatologic Specimen Analysis,exact,0.995,100.0,100.0
20,INTERMITTENT OPHTH ANAES ADMIN,intermittent ophthalmic anaes administration,Intermittent Ophthalmic Anaesthesia Administration,fuzzy_medium,0.89,93.617,15.722
21,INTENS PALL BD OCCUPANCY,intensive palliative bd occupancy,Intensive Palliative Ward Bed Occupancy,fuzzy_medium,0.89,93.274,19.878
22,FOC PALL RECOVERY RM OCC /SA-8419,focused palliative recovery room occupancy sa 8419,Focused Palliative Recovery Room Occupancy,fuzzy_high,0.96,97.25,30.469
23,SESS FOC CARD DIAL /SA-1863,session focused cardiac dialysis sa 1863,Focused Cardiac Dialysis Session,fuzzy_high,0.96,97.25,39.897
24,OBST PHYSIO SESS BEDS,obst physiotherapy session beds,Bedside Obstetric Physiotherapy Session,ai_candidate_selection,0.95,86.136,7.588
25,ORTHO ISOL RM OCC POSTOP,orthopaedic isolation room occupancy postoperative,Postoperative Orthopaedic Isolation Room Occupancy,fuzzy_high,0.96,97.25,10.806
26,SUPV METAB LABORATORY PANEL /SA-8571,supv metabolic laboratory panel sa 8571,Supervised Metabolic Laboratory Panel,ai_candidate_selection,0.95,82.011,17.146
27,SESS CARD DIAL,session cardiac dialysis,Focused Cardiac Dialysis Session,fuzzy_high,0.96,97.25,15.61
28,POSTOP  ORTHO ISOL OCC,postoperative orthopaedic isolation occupancy,Postoperative Orthopaedic Isolation Room Occupancy,fuzzy_high,0.96,97.25,17.762
29,SVC FOC VASC /SA-2989,service focused vascular sa 2989,Focused Vascular Transfusion Service,ai_candidate_selection,0.75,83.357,18.524
30,SVC STD PSYCH TRANSF,service standard psychiatric transfusion,Standard Psychiatric Transfusion Service,fuzzy_high,0.96,97.25,30.059
31,MONIT STD METAB TELEM,monitoring standard metabolic telem,Standard Metabolic Telemetry Monitoring,fuzzy_medium,0.89,91.993,34.94
32,FOCUSED PULMONARY PHARM DISP,focused pulmonary pharm dispensing,Focused Pulmonary Pharmaceutical Dispensing,fuzzy_medium,0.89,89.217,13.892
33,SPCM ADV DERM /SA-5608,specimen advanced dermatologic sa 5608,Advanced Dermatologic Specimen Analysis,ai_candidate_selection,0.95,85.809,16.58
34,SESSION  BEDS OBST PHYSIO /SA-5920,session beds obst physiotherapy sa 5920,Bedside Obstetric Physiotherapy Session,ai_candidate_selection,0.95,77.301,9.226
35,RTN NEURO IMG INTERP /SA-2009,routine neurological imaging interp sa 2009,Routine Neurological Imaging Interpretation,ai_candidate_selection,0.95,83.721,10.8
36,INTERM  ORTHO RECOV RM OCC /SA-8516,intermittent orthopaedic recovery room occupancy sa 8516,Intermittent Orthopaedic Recovery Room Occupancy,fuzzy_high,0.96,97.25,11.043
37,INTERM  OPHTHALMIC ADMIN,intermittent ophthalmic administration,Intermittent Ophthalmic Anaesthesia Administration,fuzzy_high,0.96,97.25,20.067
38,STD - PAED INF THER /SA-9927,standard paediatric infusion ther sa 9927,Standard Paediatric Infusion Therapy,ai_candidate_selection,0.95,87.946,17.305
39,CONT ENT DISCH PLNG /SA-8811,continuous otolaryngologic disch planning sa 8811,Continuous Otolaryngologic Discharge Planning,ai_candidate_selection,0.95,88.191,32.535
40,SUPPORT AMBULATORY HAEM NUTR,support ambulatory haematology nutritional,Ambulatory Haematology Nutritional Support,fuzzy_high,0.96,97.25,33.924
41,INTERM PSYCH LAB PNL,intermittent psychiatric laboratory panel,Intermittent Psychiatric Laboratory Panel,exact,0.995,100.0,100.0
42,PREOP OBST HM VST /SA-3879,preoperative obst home visit sa 3879,Preoperative Obstetric Home Visit,ai_candidate_selection,0.95,81.602,22.727
43,STD ISOL RM OCC,standard isolation room occupancy,,ai_unresolved,0.52,97.25,0.0
44,OUTPT HAEM BIOP PROC /SA-1755,outpatient haematology biopsy procedure sa 1755,Outpatient Haematology Biopsy Procedure,fuzzy_high,0.96,97.25,15.966
45,INTERM CARD SPCM,intermittent cardiac specimen,Intermittent Cardiac Specimen Analysis,fuzzy_high,0.96,97.25,23.342
46,OCC INPATIENT OPHTH RECOV /SA-5374,occupancy inpatient ophthalmic recovery sa 5374,Inpatient Ophthalmic Recovery Room Occupancy,fuzzy_medium,0.89,91.392,15.283
47,RTN OPHTH LAB PNL /SA-1969,routine ophthalmic laboratory panel sa 1969,Routine Ophthalmic Laboratory Panel,fuzzy_high,0.96,97.25,12.548
48,ELECT CARD TRANSP SVC /SA-5251,elective cardiac transport service sa 5251,Elective Cardiac Transport Service,fuzzy_high,0.96,97.25,31.396
49,INTENS NEURO PROG /SA-3375,intensive neurological programme sa 3375,Intensive Neurological Rehabilitation Programme,ai_candidate_selection,0.95,86.444,17.428
50,STD ORTHO ISOL RM OCC /SA-8236,standard orthopaedic isolation room occupancy sa 8236,Standard Orthopaedic Isolation Room Occupancy,fuzzy_high,0.96,97.25,15.831
51,OCC  INPATIENT ORTHO RECOV RM /SA-2313,occupancy inpatient orthopaedic recovery room sa 2313,Inpatient Orthopaedic Recovery Room Occupancy,fuzzy_high,0.96,97.25,13.893
52,PREOP OBSTETRIC HM VISIT,preoperative obstetric home visit,Preoperative Obstetric Home Visit,exact,0.995,100.0,100.0
53,ASST DIAG IMG /SA-7926,assisted diagnostic imaging sa 7926,Assisted Musculoskeletal Diagnostic Imaging,ai_candidate_selection,0.84,84.702,18.645
54,STD  NEURO ISOL RM OCC,standard neurological isolation room occupancy,Standard Neurological Isolation Room Occupancy,exact,0.995,100.0,100.0
55,NEURO  REHAB PROG,neurological rehabilitation programme,,ai_unresolved,0.52,97.25,0.0
56,STD NEURO ISOL RM OCCUPANCY /SA-5454,standard neurological isolation room occupancy sa 5454,Standard Neurological Isolation Room Occupancy,fuzzy_high,0.96,97.25,14.532
57,SUPP  - EXT ENT NUTR,support extended otolaryngologic nutritional,Extended Otolaryngologic Nutritional Support,fuzzy_high,0.96,97.25,28.975
58,EMER PULM VENT,emergency pulmonary ventilation,Emergency Pulmonary Ventilation Support,fuzzy_high,0.96,97.25,41.0
59,PREOP CARD ANALYSIS,preoperative cardiac analysis,Preoperative Cardiac Specimen Analysis,fuzzy_high,0.96,97.25,23.884
60,RTN GER PHYSIO SESS,routine geriatric physiotherapy session,Routine Geriatric Physiotherapy Session,exact,0.995,100.0,100.0
61,EXT ENT NUTR SUPP /SA-9610,extended otolaryngologic nutritional support sa 9610,Extended Otolaryngologic Nutritional Support,fuzzy_high,0.96,97.25,30.225
62,INTERP RTN NEURO IMG /SA-3711,interp routine neurological imaging sa 3711,Routine Neurological Imaging Interpretation,ai_candidate_selection,0.95,81.419,9.301
63,OBSERVATION  CARD NURSING,observation cardiac nursing,Elective Cardiac Nursing Observation,fuzzy_high,0.96,97.25,24.511
64,BIOPSY ASST GI /SA-6156,biopsy assisted gastrointestinal sa 6156,Assisted Gastrointestinal Biopsy Procedure,ai_candidate_selection,0.95,86.444,30.873
65,OCCUPANCY SUPV RHEUM CRIT CR /SA-3411,occupancy supv rheum critical cr sa 3411,Supervised Rheumatologic Critical Care Occupancy,ai_candidate_selection,0.95,72.938,21.518
66,OCC INPT OPHTH RECOV RM,occupancy inpatient ophthalmic recovery room,Inpatient Ophthalmic Recovery Room Occupancy,fuzzy_high,0.96,97.25,9.834
67,ADV  GI ENDOSC PROC /SA-3924,advanced gastrointestinal endoscopic procedure sa 3924,Advanced Gastrointestinal Endoscopic Procedure,fuzzy_high,0.96,97.25,22.882
68,PREOP  OBST PHYSIO SESS,preoperative obst physiotherapy session,Preoperative Obstetric Physiotherapy Session,fuzzy_medium,0.89,93.976,12.391
69,EMER  REN INF THER /SA-7213,emergency renal infusion ther sa 7213,Emergency Renal Infusion Therapy,ai_candidate_selection,0.95,86.398,31.329
70,ADV  ENDO CASE CONFERENCE,advanced endocrine case conference,Advanced Endocrine Case Conference,exact,0.995,100.0,100.0
71,STD METAB TELEM MONIT,standard metabolic telem monitoring,Standard Metabolic Telemetry Monitoring,fuzzy_medium,0.89,94.595,32.995
72,OCC PREOP NEUROLOGICAL ISOL RM,occupancy preoperative neurological isolation room,Preoperative Neurological Isolation Room Occupancy,fuzzy_high,0.96,97.25,10.545
73,SVC EMER TRANSP,service emergency transport,Emergency Haematology Transport Service,fuzzy_high,0.96,97.25,15.452
74,ADV ENDOSCOPIC PROC /SA-6974,advanced endoscopic procedure sa 6974,Advanced Gastrointestinal Endoscopic Procedure,ai_candidate_selection,0.9,85.462,17.217
75,STD PAED INF THER,standard paediatric infusion ther,Standard Paediatric Infusion Therapy,fuzzy_high,0.96,95.652,18.509
76,BEDS  OBST PHYSIO SESS,beds obst physiotherapy session,Bedside Obstetric Physiotherapy Session,ai_candidate_selection,0.95,88.571,10.023
77,SESS RTN GER PHYSIO /SA-5953,session routine geriatric physiotherapy sa 5953,Routine Geriatric Physiotherapy Session,fuzzy_high,0.96,97.25,26.717
78,IMG SUPV MSK DIAG,imaging supv musculoskeletal diagnostic,Supervised Musculoskeletal Diagnostic Imaging,ai_candidate_selection,0.95,90.589,0.0
79,INTERM PSYCHIATRIC LAB PNL /SA-4231,intermittent psychiatric laboratory panel sa 4231,Intermittent Psychiatric Laboratory Panel,fuzzy_high,0.96,97.25,34.967
80,OCC INTENS WD BD,occupancy intensive wd bd,Intensive Palliative Ward Bed Occupancy,ai_candidate_selection,0.78,85.889,14.081
81,INPT  ORTHO RECOV RM OCC /SA-8297,inpatient orthopaedic recovery room occupancy sa 8297,Inpatient Orthopaedic Recovery Room Occupancy,fuzzy_high,0.96,97.25,12.101
82,PREOP  ORTHO SUPP /SA-5284,preoperative orthopaedic support sa 5284,Preoperative Orthopaedic Ventilation Support,ai_candidate_selection,0.95,86.444,26.17
83,NEURO IMG INTERP RTN,neurological imaging interp routine,Routine Neurological Imaging Interpretation,ai_candidate_selection,0.95,87.276,9.621
84,SUPV MSK DIAG /SA-7067,supv musculoskeletal diagnostic sa 7067,Supervised Musculoskeletal Diagnostic Imaging,ai_candidate_selection,0.95,79.214,1.414
85,EMER  REN THER,emergency renal ther,Emergency Renal Infusion Therapy,ai_candidate_selection,0.8,85.596,9.704
86,CONT - REN VENT SUPP,continuous renal ventilation support,Continuous Renal Ventilation Support,exact,0.995,100.0,100.0
87,NEURO ISOL RM OCC PREOP,neurological isolation room occupancy preoperative,Preoperative Neurological Isolation Room Occupancy,fuzzy_high,0.96,97.25,10.545
88,PULM PHARM DISP FOC,pulmonary pharm dispensing focused,Focused Pulmonary Pharmaceutical Dispensing,ai_candidate_selection,0.95,87.839,14.585
89,POSTOP ORTHO ISOL RM OCC,postoperative orthopaedic isolation room occupancy,Postoperative Orthopaedic Isolation Room Occupancy,exact,0.995,100.0,100.0
90,BEDS OBST PHYSIOTHERAPY SESSION,beds obst physiotherapy session,Bedside Obstetric Physiotherapy Session,ai_candidate_selection,0.95,88.571,10.023
91,EMER PAED THTR TIME /SA-3798,emergency paediatric thtr time sa 3798,Emergency Paediatric Theatre Time,ai_candidate_selection,0.95,85.272,21.272
92,POSTOP CARD PHYSIO SESS /SA-2508,postoperative cardiac physiotherapy session sa 2508,Postoperative Cardiac Physiotherapy Session,fuzzy_high,0.96,97.25,21.461
93,SERVICE - ELECT CARD TRANSP,service elective cardiac transport,Elective Cardiac Transport Service,fuzzy_high,0.96,97.25,32.417
94,EXT  VASC HM VST,extended vascular home visit,Extended Vascular Home Visit,exact,0.995,100.0,100.0
95,NEURO REHAB PROG INTENS,neurological rehabilitation programme intensive,Intensive Neurological Rehabilitation Programme,fuzzy_high,0.96,97.25,11.577
96,PALL RECOV ROOM OCC,palliative recovery room occupancy,Focused Palliative Recovery Room Occupancy,fuzzy_high,0.96,97.25,18.768
97,SUPV HEPATIC ENDOSC PROC,supv hepatic endoscopic procedure,Supervised Hepatic Endoscopic Procedure,fuzzy_medium,0.89,91.728,18.332
98,PROGRAMME INTENS NEURO REHAB,programme intensive neurological rehabilitation,Intensive Neurological Rehabilitation Programme,fuzzy_high,0.96,97.25,11.577
99,ADVANCED RHEUM ISOL RM /SA-1731,advanced rheum isolation room sa 1731,Advanced Rheumatologic Isolation Room Occupancy,ai_candidate_selection,0.95,75.095,0.537
100,PANEL  RTN OPHTH LAB,panel routine ophthalmic laboratory,Routine Ophthalmic Laboratory Panel,fuzzy_high,0.96,97.25,11.114
101,NEURO ISOL RM OCC STD,neurological isolation room occupancy standard,Standard Neurological Isolation Room Occupancy,fuzzy_high,0.96,97.25,10.545
102,INPT ORTHO RECOV OCC,inpatient orthopaedic recovery occupancy,Inpatient Orthopaedic Recovery Room Occupancy,fuzzy_high,0.96,97.25,10.886
103,SESS PREOP OBST PHYSIO,session preoperative obst physiotherapy,Preoperative Obstetric Physiotherapy Session,fuzzy_medium,0.89,91.392,10.745
104,PREOPERATIVE  OBST PHYSIO SESSION,preoperative obst physiotherapy session,Preoperative Obstetric Physiotherapy Session,fuzzy_medium,0.89,93.976,12.391
105,EMER  TRANSP SERVICE /SA-9292,emergency transport service sa 9292,Emergency Haematology Transport Service,ai_candidate_selection,0.78,84.702,19.629
106,OCC STD MSK RECOV ROOM,occupancy standard musculoskeletal recovery room,Standard Musculoskeletal Recovery Room Occupancy,fuzzy_high,0.96,97.25,28.427
107,POSTOPERATIVE PAED THTR TM,postoperative paediatric thtr tm,Postoperative Paediatric Theatre Time,fuzzy_medium,0.89,92.754,17.536
108,STANDARD  - ORTHO ISOL RM OCC,standard orthopaedic isolation room occupancy,Standard Orthopaedic Isolation Room Occupancy,exact,0.995,100.0,100.0
109,VASC IMAGING INTERP,vascular imaging interp,Preoperative Vascular Imaging Interpretation,ai_candidate_selection,0.85,86.423,10.415
110,POSTOP PULM INF THER /SA-6470,postoperative pulmonary infusion ther sa 6470,Postoperative Pulmonary Infusion Therapy,fuzzy_medium,0.89,89.176,31.412
111,INPT OPHTH RECOV RM OCC,inpatient ophthalmic recovery room occupancy,Inpatient Ophthalmic Recovery Room Occupancy,exact,0.995,100.0,100.0
112,PNL RTN OPHTH LAB,panel routine ophthalmic laboratory,Routine Ophthalmic Laboratory Panel,fuzzy_high,0.96,97.25,11.114
113,PULM PHARM DISP BEDS,pulmonary pharm dispensing beds,Bedside Pulmonary Pharmaceutical Dispensing,ai_candidate_selection,0.95,81.48,5.205
114,STD METAB TELEM MONIT /SA-4721,standard metabolic telem monitoring sa 4721,Standard Metabolic Telemetry Monitoring,ai_candidate_selection,0.95,85.366,29.703
115,HAEM TRANSP SVC EMER,haematology transport service emergency,Emergency Haematology Transport Service,fuzzy_high,0.96,97.25,14.301
116,PNL INTERM PSYCH LAB,panel intermittent psychiatric laboratory,Intermittent Psychiatric Laboratory Panel,fuzzy_high,0.96,97.25,35.266
117,ANLY INTERM CARD SPCM /SA-2727,analysis intermittent cardiac specimen sa 2727,Intermittent Cardiac Specimen Analysis,fuzzy_high,0.96,97.25,20.067
118,OCC POSTOP ORTHO ISOLATION RM,occupancy postoperative orthopaedic isolation room,Postoperative Orthopaedic Isolation Room Occupancy,fuzzy_high,0.96,97.25,10.806
119,ADV ENDO CS CONF /SA-1948,advanced endocrine case conference conference sa 1948,Advanced Endocrine Case Conference,fuzzy_medium,0.89,94.5,40.845
120,SUPPORT  AMB HAEM NUTR,support ambulatory haematology nutritional,Ambulatory Haematology Nutritional Support,fuzzy_high,0.96,97.25,33.924
121,SPCLST PSYCH STERIL SERVICE,spclst psychiatric steril service,Specialist Psychiatric Sterilisation Service,ai_candidate_selection,0.95,85.714,13.652
122,INTERM ENT REHAB /SA-8030,intermittent otolaryngologic rehabilitation sa 8030,Intermittent Otolaryngologic Rehabilitation Programme,ai_candidate_selection,0.95,88.973,11.746
123,OCC  INPT PAED ISOL RM,occupancy inpatient paediatric isolation room,Inpatient Paediatric Isolation Room Occupancy,fuzzy_high,0.96,97.25,21.611
124,VASC TRANSP SVC,vascular transport service,Postoperative Vascular Transport Service,fuzzy_medium,0.89,94.5,11.894
125,ASST MSK DIAG IMG /SA-4432,assisted musculoskeletal diagnostic imaging sa 4432,Assisted Musculoskeletal Diagnostic Imaging,fuzzy_high,0.96,97.25,12.682
126,FOC OPHTH LAB PNL /SA-5900,focused ophthalmic laboratory panel sa 5900,Focused Ophthalmic Laboratory Panel,fuzzy_high,0.96,97.25,12.548
127,PREOP CARDIAC SPCM ANLY /SA-9127,preoperative cardiac specimen analysis sa 9127,Preoperative Cardiac Specimen Analysis,fuzzy_high,0.96,97.25,20.067
128,EMER  TRANSP SVC /SA-1419,emergency transport service sa 1419,Emergency Haematology Transport Service,ai_candidate_selection,0.78,84.702,19.629
129,RTN  INFECT ISOL RM,routine infectious isolation room,Routine Infectious Isolation Room Occupancy,fuzzy_high,0.96,97.25,13.414
130,ORTHO RECOV RM OCC INTERM,orthopaedic recovery room occupancy intermittent,Intermittent Orthopaedic Recovery Room Occupancy,fuzzy_high,0.96,97.25,7.32
131,PREOP  OBST HOME VST /SA-4776,preoperative obst home visit sa 4776,Preoperative Obstetric Home Visit,ai_candidate_selection,0.95,81.602,22.727
132,INTENS  PAED INF THER,intensive paediatric infusion ther,Intensive Paediatric Infusion Therapy,fuzzy_high,0.96,95.775,18.632
133,TM POSTOP PAEDIATRIC /SA-5370,tm postoperative paediatric sa 5370,Postoperative Paediatric Theatre Time,ai_candidate_selection,0.95,79.119,20.144
134,EXT  DERM SPCM ANLY /SA-4005,extended dermatologic specimen analysis sa 4005,Extended Dermatologic Specimen Analysis,fuzzy_high,0.96,97.25,12.685
135,EMER  PULM VENT SUPP /SA-9029,emergency pulmonary ventilation support sa 9029,Emergency Pulmonary Ventilation Support,fuzzy_high,0.96,97.25,30.059
136,INTERM ENT REHAB PROG,intermittent otolaryngologic rehabilitation programme,Intermittent Otolaryngologic Rehabilitation Programme,exact,0.995,100.0,100.0
137,FOC  CARD DIAL SESS /SA-1981,focused cardiac dialysis session sa 1981,Focused Cardiac Dialysis Session,fuzzy_high,0.96,97.25,39.897
138,VST PREOP OBST HM /SA-4486,visit preoperative obst home sa 4486,Preoperative Obstetric Home Visit,ai_candidate_selection,0.95,79.884,22.384
139,SUPV HEP ENDOSCOPIC PROC,supv hepatic endoscopic procedure,Supervised Hepatic Endoscopic Procedure,fuzzy_medium,0.89,91.728,18.332
140,ELECT CARD SVC,elective cardiac service,Elective Cardiac Transport Service,fuzzy_high,0.96,97.25,14.225
141,INPATIENT ORTHO RECOV RM OCC /SA-8038,inpatient orthopaedic recovery room occupancy sa 8038,Inpatient Orthopaedic Recovery Room Occupancy,fuzzy_high,0.96,97.25,12.101
142,EMER REN INFUSION THER,emergency renal infusion ther,Emergency Renal Infusion Therapy,fuzzy_high,0.96,95.082,35.236
143,EXT ENT NUTR SUPP,extended otolaryngologic nutritional support,Extended Otolaryngologic Nutritional Support,exact,0.995,100.0,100.0
144,MSK DIAG IMG SUPV,musculoskeletal diagnostic imaging supv,Supervised Musculoskeletal Diagnostic Imaging,ai_candidate_selection,0.95,90.589,0.0
145,PNL  RTN OPHTH LABORATORY,panel routine ophthalmic laboratory,Routine Ophthalmic Laboratory Panel,fuzzy_high,0.96,97.25,11.114
146,CONF ADV ENDO CS,conference advanced endocrine case conference,Advanced Endocrine Case Conference,fuzzy_high,0.96,97.25,36.699
147,ROUTINE LAB PNL /SA-5904,routine laboratory panel sa 5904,,ai_unresolved,0.52,83.357,18.524
148,SUPP EXT ENT NUTR /SA-9016,support extended otolaryngologic nutritional sa 9016,Extended Otolaryngologic Nutritional Support,fuzzy_high,0.96,97.25,30.225
149,SPCLST PSYCH STERILISATION SVC /SA-1201,spclst psychiatric sterilisation service sa 1201,Specialist Psychiatric Sterilisation Service,ai_candidate_selection,0.95,86.957,21.047
150,HAEM TRANSP SVC COMPR,haematology transport service comprehensive,Comprehensive Haematology Transport Service,fuzzy_high,0.96,97.25,14.301
151,INTENSIVE  INFECT PHYSIO SESS,intensive infectious physiotherapy session,Intensive Infectious Physiotherapy Session,exact,0.995,100.0,100.0
152,FOC  PALL RECOV RM OCC /SA-5934,focused palliative recovery room occupancy sa 5934,Focused Palliative Recovery Room Occupancy,fuzzy_high,0.96,97.25,30.469
153,SVC  SPCLST PSYCH STERIL,service spclst psychiatric steril,Specialist Psychiatric Sterilisation Service,ai_candidate_selection,0.95,83.357,12.29
154,INTERM  ORTHO RECOVERY RM OCC /SA-8653,intermittent orthopaedic recovery room occupancy sa 8653,Intermittent Orthopaedic Recovery Room Occupancy,fuzzy_high,0.96,97.25,11.043
155,RTN GER SESS,routine geriatric session,Routine Geriatric Physiotherapy Session,fuzzy_medium,0.89,92.025,19.688
156,PHARM FOC PULM,pharm focused pulmonary,Focused Pulmonary Pharmaceutical Dispensing,ai_candidate_selection,0.95,85.275,12.341
157,FOC VASC TRANSFUSION SVC,focused vascular transfusion service,Focused Vascular Transfusion Service,exact,0.995,100.0,100.0
158,RTN  NEUROLOGICAL IMG INTERP,routine neurological imaging interp,Routine Neurological Imaging Interpretation,fuzzy_medium,0.89,89.744,12.089
159,ADV  GI PROC,advanced gastrointestinal procedure,Advanced Gastrointestinal Endoscopic Procedure,fuzzy_high,0.96,97.25,14.348
160,POSTOP ANAES ADMIN,postoperative anaes administration,,ai_unresolved,0.52,87.67,15.233
161,MONIT  STD METAB TELEM /SA-3090,monitoring standard metabolic telem sa 3090,Standard Metabolic Telemetry Monitoring,ai_candidate_selection,0.95,83.018,31.464
162,SPECIALIST PSYCH STERIL SERVICE,specialist psychiatric steril service,Specialist Psychiatric Sterilisation Service,fuzzy_medium,0.89,91.358,23.679
163,INTERM CARD ANLY,intermittent cardiac analysis,Intermittent Cardiac Specimen Analysis,fuzzy_high,0.96,97.25,23.884
164,PROCEDURE ASST GI BIOPSY /SA-5378,procedure assisted gastrointestinal biopsy sa 5378,Assisted Gastrointestinal Biopsy Procedure,fuzzy_high,0.96,97.25,27.014
165,EXT  ORTHO RADIOTHER FRACT,extended orthopaedic radiotherapy fract,Extended Orthopaedic Radiotherapy Fraction,fuzzy_high,0.96,96.296,22.879
166,ROUTINE INFECT RM OCC,routine infectious room occupancy,Routine Infectious Isolation Room Occupancy,fuzzy_high,0.96,97.25,13.414
167,INTERPRETATION NEURO IMG /SA-5989,interpretation neurological imaging sa 5989,,ai_unresolved,0.52,87.276,0.0
168,NEURO IMG INTERP SUPV,neurological imaging interp supv,Supervised Neurological Imaging Interpretation,ai_candidate_selection,0.95,79.795,4.588
169,ELECT CARD NURS OBS /SA-1894,elective cardiac nursing obs sa 1894,Elective Cardiac Nursing Observation,ai_candidate_selection,0.95,80.556,17.184
170,ELECT TRANSP SVC,elective transport service,Elective Cardiac Transport Service,fuzzy_high,0.96,97.25,14.644
171,CONT OTOLARYNGOLOGIC DISCH PLNG /SA-3899,continuous otolaryngologic disch planning sa 3899,Continuous Otolaryngologic Discharge Planning,ai_candidate_selection,0.95,88.191,32.535
172,PNL FOCUSED OPHTH LAB /SA-2998,panel focused ophthalmic laboratory sa 2998,Focused Ophthalmic Laboratory Panel,fuzzy_high,0.96,97.25,12.548
173,OCC  INPT PAED ISOLATION ROOM,occupancy inpatient paediatric isolation room,Inpatient Paediatric Isolation Room Occupancy,fuzzy_high,0.96,97.25,21.611
174,EMER PULMONARY VENT SUPP /SA-3137,emergency pulmonary ventilation support sa 3137,Emergency Pulmonary Ventilation Support,fuzzy_high,0.96,97.25,30.059
175,SVC ELECT CARD TRANSP,service elective cardiac transport,Elective Cardiac Transport Service,fuzzy_high,0.96,97.25,32.417
176,ASST DIAG IMAGING,assisted diagnostic imaging,Assisted Musculoskeletal Diagnostic Imaging,ai_candidate_selection,0.9,92.025,9.0
177,ANLY INTERM CARD SPCM,analysis intermittent cardiac specimen,Intermittent Cardiac Specimen Analysis,fuzzy_high,0.96,97.25,20.067
178,ADMIN POSTOP OPHTH ANAES,administration postoperative ophthalmic anaes,Postoperative Ophthalmic Anaesthesia Administration,fuzzy_medium,0.89,91.172,15.419
179,STD MSK RECOV RM /SA-7054,standard musculoskeletal recovery room sa 7054,Standard Musculoskeletal Recovery Room Occupancy,ai_candidate_selection,0.95,87.988,35.049
180,SUPERVISED BIOPSY PROC,supervised biopsy procedure,Supervised Haematology Biopsy Procedure,fuzzy_high,0.96,97.25,14.484
181,IMAGING ASST MSK DIAG /SA-2758,imaging assisted musculoskeletal diagnostic sa 2758,Assisted Musculoskeletal Diagnostic Imaging,fuzzy_high,0.96,97.25,13.541
182,PREOP OBSTETRIC HM VST,preoperative obstetric home visit,Preoperative Obstetric Home Visit,exact,0.995,100.0,100.0
183,SUPV  IMG INTERP,supv imaging interp,Supervised Neurological Imaging Interpretation,ai_candidate_selection,0.76,73.333,2.022
